timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 02:14:36,1,1000,1000,30,1000,0,0.0000,33.33,63.7,220.0,468.6,1215.8,249.1,6.3,32.5,0.96,0.21,0.07,22.10
2025-09-11 02:15:13,2,1500,1000,30,1500,0,0.0000,50.00,61.4,80.7,264.0,1215.8,249.1,6.3,32.5,0.96,0.21,0.07,22.10
2025-09-11 02:15:50,3,2000,1000,30,2000,0,0.0000,66.67,60.4,70.0,284.1,1215.8,249.1,6.3,32.5,0.96,0.21,0.07,22.10
2025-09-11 02:16:27,4,2500,1000,30,2500,0,0.0000,83.33,60.8,79.5,393.7,2.0,1.6,36.9,94.5,0.57,0.43,0.18,22.15
2025-09-11 02:17:06,5,3000,1000,30,3000,0,0.0000,100.00,60.3,87.2,325.1,2.0,38.8,36.9,94.5,0.57,0.43,0.18,22.15
2025-09-11 02:17:44,6,3500,1000,30,3500,0,0.0000,116.67,60.9,86.0,401.3,241.6,1.6,36.9,94.5,0.57,0.43,0.18,22.15
2025-09-11 02:18:22,7,4000,1000,30,4000,0,0.0000,133.33,60.8,116.3,501.4,454.8,70.9,25.1,96.5,0.49,0.45,0.21,22.15
2025-09-11 02:18:59,8,4500,1000,30,4500,0,0.0000,150.00,60.9,102.4,523.8,454.8,70.9,25.1,96.5,0.49,0.45,0.21,22.15
2025-09-11 02:19:37,9,5000,1000,30,4966,34,0.0068,166.67,62.3,119.1,599.2,454.8,70.9,25.1,96.5,0.49,0.45,0.21,22.15
2025-09-11 02:20:15,10,5500,1000,30,5500,0,0.0000,183.33,60.8,89.1,365.4,740.4,141.6,25.8,97.9,0.57,0.51,0.27,22.15
2025-09-11 02:20:56,11,6000,1000,30,6000,0,0.0000,200.00,63.5,153.8,566.9,740.4,141.6,25.8,97.9,0.57,0.51,0.27,22.15
2025-09-11 02:21:32,12,6500,1000,30,6361,139,0.0214,216.67,62.3,87.7,10928.3,740.4,141.6,25.8,97.9,0.57,0.51,0.27,22.15
2025-09-11 02:22:10,13,7000,1000,30,2822,4178,0.5969,233.33,10182.2,10882.3,10990.6,1068.1,216.3,27.1,98.3,0.83,0.57,0.31,22.15
2025-09-11 02:22:47,14,7500,1000,30,53,7447,0.9929,250.00,10492.6,10903.9,10992.5,1068.1,216.3,27.1,98.3,0.83,0.57,0.31,22.15
2025-09-11 02:23:26,15,8000,1000,30,145,7855,0.9819,266.67,10509.7,10896.6,10997.3,1068.1,216.3,27.1,98.3,0.83,0.57,0.31,22.15
2025-09-11 02:24:04,16,8500,1000,30,0,8500,1.0000,283.33,10538.1,10901.2,10992.7,1068.1,216.3,60.4,98.3,9.58,3.61,1.42,22.15
