timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 02:34:45,1,1000,1000,30,1000,0,0.0000,33.33,60.8,91.9,320.3,3.1,4.9,15.7,89.1,0.11,0.09,0.03,22.17
2025-09-11 02:35:23,2,1500,1000,30,1500,0,0.0000,50.00,59.8,65.8,190.1,3.1,4.9,15.7,89.1,0.11,0.09,0.03,22.17
2025-09-11 02:36:01,3,2000,1000,30,2000,0,0.0000,66.67,59.4,71.2,211.2,3.1,4.9,15.2,89.1,0.11,0.09,0.03,22.17
2025-09-11 02:36:38,4,2500,1000,30,2500,0,0.0000,83.33,59.1,70.1,259.8,147.3,14.3,15.2,94.7,0.54,0.22,0.08,22.17
2025-09-11 02:37:16,5,3000,1000,30,3000,0,0.0000,100.00,58.8,102.1,244.5,147.3,14.3,15.2,94.7,0.54,0.22,0.08,22.17
2025-09-11 02:37:53,6,3500,1000,30,3500,0,0.0000,116.67,59.0,83.8,239.8,147.3,14.3,15.2,94.7,0.54,0.22,0.08,22.17
2025-09-11 02:38:30,7,4000,1000,30,4000,0,0.0000,133.33,59.4,67.7,285.7,338.4,55.3,13.5,95.1,0.34,0.28,0.12,22.17
2025-09-11 02:39:07,8,4500,1000,30,4500,0,0.0000,150.00,58.7,67.5,257.6,338.4,55.3,13.5,95.1,0.34,0.28,0.12,22.17
2025-09-11 02:39:45,9,5000,1000,30,5000,0,0.0000,166.67,59.5,97.3,292.2,338.4,55.3,13.5,95.1,0.34,0.28,0.12,22.17
2025-09-11 02:40:23,10,5500,1000,30,5500,0,0.0000,183.33,59.3,82.5,342.6,655.7,124.8,12.2,96.2,0.40,0.33,0.16,22.17
2025-09-11 02:41:04,11,6000,1000,30,6000,0,0.0000,200.00,59.3,74.2,332.7,655.7,124.8,12.2,96.2,0.40,0.33,0.16,22.17
2025-09-11 02:41:41,12,6500,1000,30,6428,72,0.0111,216.67,59.3,81.7,10019.2,655.7,124.8,12.2,96.2,0.40,0.33,0.16,22.17
2025-09-11 02:42:19,13,7000,1000,30,6770,230,0.0329,233.33,59.3,69.7,10886.4,1036.6,207.2,17.3,97.7,0.47,0.35,0.18,22.17
2025-09-11 02:42:55,14,7500,1000,30,7280,220,0.0293,250.00,59.8,84.1,10620.5,1036.6,207.2,17.3,97.7,0.47,0.35,0.18,22.17
2025-09-11 02:43:34,15,8000,1000,30,7786,214,0.0267,266.67,60.0,81.2,10836.9,1036.6,207.2,17.3,97.7,0.47,0.35,0.18,22.17
2025-09-11 02:44:12,16,8500,1000,30,8289,211,0.0248,283.33,60.4,86.3,10128.6,1526.4,313.7,20.8,97.5,1.10,0.60,0.29,22.17
2025-09-11 02:44:49,17,9000,1000,30,8730,270,0.0300,300.00,60.5,81.1,10569.9,1526.4,313.7,20.8,97.5,1.10,0.60,0.29,22.17
2025-09-11 02:45:27,18,9500,1000,30,9254,246,0.0259,316.67,61.9,91.5,10898.3,1526.4,313.7,20.8,97.5,1.10,0.60,0.29,22.17
2025-09-11 02:46:04,19,10000,1000,30,9785,215,0.0215,333.33,62.7,117.5,10598.8,1526.4,313.7,25.2,97.5,1.92,0.97,0.45,22.17
2025-09-11 02:46:42,20,10500,1000,30,10286,214,0.0204,350.00,63.2,134.4,10825.3,2061.2,439.1,25.2,97.9,1.92,0.97,0.45,22.17
2025-09-11 02:47:21,21,11000,1000,30,10361,639,0.0581,366.67,64.2,200.2,10769.6,2061.2,439.1,25.2,97.9,1.92,0.97,0.45,22.17
2025-09-11 02:47:59,22,11500,1000,30,10934,566,0.0492,383.33,64.0,128.2,10474.8,2061.2,439.1,25.2,97.9,1.92,0.97,0.45,22.17
2025-09-11 02:48:36,23,12000,1000,30,3383,8617,0.7181,400.00,10363.5,10865.1,10993.5,2616.7,556.2,26.0,98.2,1.93,1.22,0.61,22.17
2025-09-11 02:49:16,24,12500,1000,30,2582,9918,0.7934,416.67,10350.7,10863.9,10985.1,2616.7,556.2,26.0,98.2,1.93,1.22,0.61,22.17
2025-09-11 02:49:52,25,13000,1000,30,0,13000,1.0000,433.33,10527.2,10888.1,10999.3,2616.7,556.2,26.0,98.2,1.93,1.22,0.61,22.17
