timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 09:06:57,1,1000,1000,30,1000,0,0.0000,33.33,60.2,64.1,157.6,1.3,0.5,0.9,59.7,0.00,0.00,0.00,22.24
2025-09-11 09:07:35,2,2000,1000,30,2000,0,0.0000,66.67,59.6,64.8,170.5,1.3,0.5,0.9,59.7,0.00,0.00,0.00,22.24
2025-09-11 09:08:13,3,3000,1000,30,3000,0,0.0000,100.00,60.3,65.0,203.9,200.7,8.6,8.6,58.6,0.11,0.03,0.01,22.24
2025-09-11 09:08:52,4,4000,1000,30,4000,0,0.0000,133.33,60.7,71.5,224.5,200.7,8.6,8.6,58.6,0.11,0.03,0.01,22.24
2025-09-11 09:09:31,5,5000,1000,30,5000,0,0.0000,166.67,61.0,69.6,243.8,200.7,8.6,8.6,58.6,0.11,0.03,0.01,22.24
2025-09-11 09:10:10,6,6000,1000,30,6000,0,0.0000,200.00,60.5,78.1,271.2,438.5,59.4,14.0,59.0,0.19,0.08,0.02,22.24
2025-09-11 09:10:48,7,7000,1000,30,7000,0,0.0000,233.33,61.0,80.6,298.1,438.5,59.4,14.0,59.0,0.19,0.08,0.02,22.24
2025-09-11 09:11:26,8,8000,1000,30,8000,0,0.0000,266.67,61.9,94.6,360.3,438.5,59.4,14.0,59.0,0.19,0.08,0.02,22.24
2025-09-11 09:12:04,9,9000,1000,30,8826,174,0.0193,300.00,62.5,84.3,10541.1,438.5,59.4,19.0,59.0,0.19,0.51,0.18,22.24
2025-09-11 09:12:42,10,10000,1000,30,9366,634,0.0634,333.33,63.7,109.1,10803.6,917.3,162.3,19.0,59.4,1.24,0.51,0.18,22.24
2025-09-11 09:13:23,11,11000,1000,30,10586,414,0.0376,366.67,63.3,112.1,10659.6,917.3,162.3,19.0,59.4,1.24,0.51,0.18,22.24
2025-09-11 09:14:02,12,12000,1000,30,11555,445,0.0371,400.00,67.5,132.1,9088.3,917.3,162.3,23.2,59.4,1.24,0.51,0.18,22.24
2025-09-11 09:14:40,13,13000,1000,30,12571,429,0.0330,433.33,68.3,145.8,10167.2,1628.4,313.0,23.2,59.8,0.74,0.55,0.23,22.24
2025-09-11 09:15:20,14,14000,1000,30,13567,433,0.0309,466.67,72.4,208.2,10589.3,1628.4,313.0,23.2,59.8,0.74,0.55,0.23,22.24
2025-09-11 09:15:59,15,15000,1000,30,14551,449,0.0299,500.00,81.8,204.4,10737.1,1628.4,313.0,23.2,59.8,0.74,0.55,0.23,22.24
2025-09-11 09:16:38,16,16000,1000,30,15527,473,0.0296,533.33,95.7,240.3,10329.4,2425.5,513.7,28.4,60.1,1.05,0.83,0.37,22.24
2025-09-11 09:17:18,17,17000,1000,30,16518,482,0.0284,566.67,107.2,283.8,10585.8,2425.5,513.7,28.4,60.1,1.05,0.83,0.37,22.24
2025-09-11 09:18:00,18,18000,1000,30,17103,897,0.0498,600.00,107.9,319.3,10815.2,2425.5,513.7,28.4,60.1,1.05,0.83,0.37,22.24
2025-09-11 09:18:40,19,19000,1000,30,7254,11746,0.6182,633.33,10242.4,10858.1,11018.1,3468.5,732.0,33.6,60.4,1.83,1.16,0.55,22.24
2025-09-11 09:19:20,20,20000,1000,30,19177,823,0.0411,666.67,151.1,451.8,10703.1,3468.5,732.0,33.6,60.4,1.83,1.16,0.55,22.24
2025-09-11 09:20:00,21,21000,1000,30,19144,856,0.0428,666.67,168.2,425.4,10417.2,3468.5,732.0,31.9,60.4,1.83,1.16,0.55,22.24
