timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 02:55:38,1,1000,1000,30,1000,0,0.0000,33.33,81.8,943.2,2185.8,1607.4,387.7,25.3,15.9,0.00,0.00,0.00,22.14
2025-09-11 02:56:17,2,1500,1000,30,1500,0,0.0000,50.00,60.3,117.5,207.9,716.2,204.6,25.6,48.4,0.75,0.27,0.10,22.19
2025-09-11 02:56:54,3,2000,1000,30,2000,0,0.0000,66.67,59.7,78.0,259.6,716.2,204.6,25.6,48.4,0.75,0.27,0.10,22.19
2025-09-11 02:57:31,4,2500,1000,30,2500,0,0.0000,83.33,59.1,77.2,220.9,716.2,204.6,25.6,48.4,0.75,0.27,0.10,22.19
2025-09-11 02:58:09,5,3000,1000,30,3000,0,0.0000,100.00,60.0,87.7,234.4,349.4,108.2,14.8,49.9,0.23,0.22,0.09,22.19
2025-09-11 02:58:47,6,3500,1000,30,3478,22,0.0063,116.67,59.0,166.7,950.8,349.4,108.2,14.8,49.9,0.23,0.22,0.09,22.19
2025-09-11 02:59:23,7,4000,1000,30,4000,0,0.0000,133.33,58.9,71.5,259.3,349.4,108.2,14.8,49.9,0.23,0.22,0.09,22.19
2025-09-11 03:00:00,8,4500,1000,30,4500,0,0.0000,150.00,58.7,64.4,250.9,349.4,108.2,14.8,49.9,0.23,0.22,0.09,22.19
2025-09-11 03:00:41,9,5000,1000,30,5000,0,0.0000,166.67,61.8,185.9,481.4,584.4,114.0,11.3,50.0,0.48,0.30,0.13,22.19
2025-09-11 03:01:19,10,5500,1000,30,5500,0,0.0000,183.33,59.5,75.5,284.9,584.4,114.0,11.3,50.0,0.48,0.30,0.13,22.19
2025-09-11 03:01:58,11,6000,1000,30,5665,335,0.0558,200.00,59.4,119.5,10753.0,584.4,114.0,11.3,50.0,0.48,0.30,0.13,22.19
2025-09-11 03:02:36,12,6500,1000,30,6267,233,0.0358,216.67,59.6,115.8,10822.7,945.1,191.2,17.3,50.6,0.79,0.56,0.25,22.19
2025-09-11 03:03:13,13,7000,1000,30,6735,265,0.0379,233.33,59.9,98.3,10242.9,945.1,191.2,17.3,50.6,0.79,0.56,0.25,22.19
2025-09-11 03:03:50,14,7500,1000,30,7334,166,0.0221,250.00,64.9,98.6,10690.8,945.1,191.2,17.3,50.6,0.79,0.56,0.25,22.19
2025-09-11 03:04:28,15,8000,1000,30,7883,117,0.0146,266.67,60.1,116.2,10092.8,1386.6,284.0,15.9,50.2,0.32,0.46,0.26,22.19
2025-09-11 03:05:06,16,8500,1000,30,8329,171,0.0201,283.33,61.7,132.4,10139.4,1386.6,284.0,15.9,50.2,0.32,0.46,0.26,22.19
2025-09-11 03:05:44,17,9000,1000,30,8795,205,0.0228,300.00,61.2,99.2,10753.9,1386.6,284.0,15.9,50.2,0.32,0.46,0.26,22.19
2025-09-11 03:06:22,18,9500,1000,30,9338,162,0.0171,316.67,61.7,92.7,10682.2,1950.1,404.8,20.4,50.6,0.80,0.62,0.34,22.19
2025-09-11 03:06:59,19,10000,1000,30,9810,190,0.0190,333.33,61.6,92.0,10644.5,1950.1,404.8,20.4,50.6,0.80,0.62,0.34,22.19
2025-09-11 03:07:35,20,10500,1000,30,9965,535,0.0510,350.00,62.6,134.4,10829.6,1950.1,404.8,20.4,50.6,0.80,0.62,0.34,22.19
2025-09-11 03:08:16,21,11000,1000,30,8982,2018,0.1835,366.67,2003.8,10525.0,10970.7,2538.1,538.6,23.9,51.2,0.91,0.84,0.46,22.19
2025-09-11 03:08:53,22,11500,1000,30,10368,1132,0.0984,383.33,69.6,2989.7,10889.4,2538.1,538.6,23.9,51.2,0.91,0.84,0.46,22.19
2025-09-11 03:09:34,23,12000,1000,30,10882,1118,0.0932,400.00,99.5,1902.7,10651.9,2538.1,538.6,23.9,51.2,0.91,0.84,0.46,22.19
2025-09-11 03:10:13,24,12500,1000,30,12143,357,0.0286,416.67,71.7,207.8,10551.2,3028.1,641.6,25.1,50.7,1.76,0.96,0.54,22.19
2025-09-11 03:10:52,25,13000,1000,30,12581,419,0.0322,433.33,68.0,153.8,10737.3,3028.1,641.6,25.1,50.7,1.76,0.96,0.54,22.19
2025-09-11 03:11:29,26,13500,1000,30,13078,422,0.0313,450.00,71.7,175.5,10054.5,3028.1,641.6,25.1,50.7,1.76,0.96,0.54,22.19
2025-09-11 03:12:08,27,14000,1000,30,13306,694,0.0496,466.67,76.7,234.4,10459.4,3028.1,763.5,27.9,51.0,1.83,1.21,0.68,22.19
2025-09-11 03:12:46,28,14500,1000,30,14068,432,0.0298,483.33,81.9,198.4,10990.8,3600.3,763.5,27.9,51.0,1.83,1.21,0.68,22.19
2025-09-11 03:13:25,29,15000,1000,30,13872,1128,0.0752,500.00,76.7,229.5,10873.4,3600.3,763.5,27.9,51.0,1.83,1.21,0.68,22.19
2025-09-11 03:14:04,30,15500,1000,30,9000,6500,0.4194,516.67,8008.8,10757.1,11009.3,3600.3,763.5,25.7,51.0,1.61,1.24,0.75,22.20
2025-09-11 03:14:44,31,16000,1000,30,10794,5206,0.3254,533.33,7685.8,10649.1,10972.5,3903.2,824.5,25.7,52.4,1.61,1.24,0.75,22.20
2025-09-11 03:15:24,32,16500,1000,30,15977,523,0.0317,550.00,90.3,325.4,10504.6,3903.2,824.5,25.7,52.4,1.61,1.24,0.75,22.20
2025-09-11 03:16:01,33,17000,1000,30,16324,676,0.0398,566.67,92.8,258.3,10501.7,3903.2,824.5,31.9,52.4,1.61,1.24,0.75,22.20
2025-09-11 03:16:42,34,17500,1000,30,16741,759,0.0434,583.33,110.4,307.6,10738.8,4183.1,882.8,31.9,58.7,3.54,1.87,1.03,22.20
2025-09-11 03:17:22,35,18000,1000,30,15880,2120,0.1178,600.00,100.2,10441.7,11045.8,4183.1,882.8,31.9,58.7,3.54,1.87,1.03,22.20
2025-09-11 03:18:02,36,18500,1000,30,11318,7182,0.3882,616.67,8410.6,10710.0,10988.7,4183.1,882.8,27.5,58.7,3.54,1.87,1.03,22.20
2025-09-11 03:18:42,37,19000,1000,30,15578,3422,0.1801,633.33,6376.3,10332.6,10970.6,4427.7,932.5,27.5,60.4,1.04,1.51,0.99,22.20
2025-09-11 03:19:20,38,19500,1000,30,18558,942,0.0483,650.00,131.6,467.3,10655.7,4427.7,932.5,27.5,60.4,1.04,1.51,0.99,22.20
2025-09-11 03:19:59,39,20000,1000,30,17972,2028,0.1014,666.67,158.9,10050.9,10788.8,4427.7,932.5,27.5,60.4,1.04,1.51,0.99,22.20
2025-09-11 03:20:43,40,20500,1000,30,11907,8093,0.4047,666.67,8993.8,10876.8,11102.5,4845.8,1005.1,36.0,59.5,5.03,2.52,1.40,22.20
