timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 13:24:09,1,1000,2000,30,2000,0,0.0000,33.33,66.67,60.8,73.7,134.8,223.9,9.9,1.0,33.3,0.01,0.36,1.09,22.51
2025-09-11 13:33:18,1,1000,2000,30,1000,0,0.0000,33.33,33.33,60.9,74.4,148.0,4.2,2.3,1.4,31.3,0.00,0.08,0.65,22.51
2025-09-11 13:33:56,2,2000,2000,30,2000,0,0.0000,66.67,66.67,60.4,79.3,199.7,4.2,2.3,1.4,31.3,0.00,0.08,0.65,22.51
2025-09-11 13:34:38,3,3000,2000,30,3000,0,0.0000,100.00,100.00,61.0,79.8,174.3,3.8,2.0,2.7,30.9,0.00,0.05,0.56,22.51
2025-09-11 13:35:17,4,4000,2000,30,4000,0,0.0000,133.33,133.33,60.4,67.9,188.2,3.8,2.0,2.7,30.9,0.00,0.05,0.56,22.51
2025-09-11 13:35:57,5,5000,2000,30,5000,0,0.0000,166.67,166.67,61.5,80.8,191.5,3.8,2.0,2.7,30.9,0.00,0.05,0.56,22.51
2025-09-11 13:36:36,6,6000,2000,30,6000,0,0.0000,200.00,200.00,62.1,87.6,250.3,465.3,45.7,7.8,30.2,0.07,0.07,0.51,22.51
2025-09-11 13:37:15,7,7000,2000,30,7000,0,0.0000,233.33,233.33,61.5,72.9,236.6,465.3,45.7,7.8,30.2,0.07,0.07,0.51,22.51
2025-09-11 13:37:55,8,8000,2000,30,8000,0,0.0000,266.67,266.67,62.7,91.8,317.6,465.3,45.7,7.8,30.2,0.07,0.07,0.51,22.51
2025-09-11 13:38:33,9,9000,2000,30,8745,255,0.0283,300.00,291.50,63.8,135.4,28274.6,971.3,154.7,14.8,31.7,0.15,0.14,0.48,22.51
2025-09-11 13:39:44,10,10000,2000,30,8417,1583,0.1583,333.33,280.57,64.3,30564.0,31008.0,971.3,154.7,14.8,31.7,0.15,0.14,0.48,22.51
2025-09-11 13:40:23,11,11000,2000,30,10662,338,0.0307,366.67,355.40,64.7,118.8,18433.3,1397.4,259.0,17.6,30.3,0.50,0.28,0.49,22.51
2025-09-11 13:41:01,12,12000,2000,30,11403,597,0.0498,400.00,380.10,72.4,197.1,9880.6,1397.4,259.0,17.6,30.3,0.50,0.28,0.49,22.51
2025-09-11 13:41:48,13,13000,2000,30,12511,489,0.0376,433.33,417.03,69.6,217.5,21079.9,1397.4,259.0,17.6,30.3,0.50,0.28,0.49,22.51
2025-09-11 13:42:27,14,14000,2000,30,13361,639,0.0456,466.67,445.37,72.0,189.5,23670.4,2106.0,407.7,19.8,30.9,1.87,0.76,0.63,22.51
2025-09-11 13:43:08,15,15000,2000,30,14493,507,0.0338,500.00,483.10,87.0,258.2,30619.4,2106.0,407.7,19.8,30.9,1.87,0.76,0.63,22.51
2025-09-11 13:44:16,16,16000,2000,30,15533,467,0.0292,533.33,517.77,107.2,348.3,30294.0,2106.0,407.7,21.4,30.9,1.87,0.76,0.71,22.51
2025-09-11 13:45:31,17,17000,2000,30,14186,2814,0.1655,566.67,472.87,11782.2,30477.5,30943.9,2781.4,591.8,21.4,30.8,0.75,0.89,0.71,22.51
2025-09-11 13:46:54,18,18000,2000,30,16302,1698,0.0943,600.00,543.40,104.5,14372.1,30264.3,3161.5,667.4,14.9,30.9,1.70,1.20,0.84,22.51
2025-09-11 13:47:42,19,19000,2000,30,18396,604,0.0318,633.33,613.20,106.2,332.0,28074.0,3161.5,667.4,14.9,30.9,1.70,1.20,0.84,22.51
