timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 11:30:07,1,1000,1000,30,1000,0,0.0000,33.33,60.7,65.6,179.2,3273.2,445.0,0.7,30.2,0.16,1.34,1.33,22.50
2025-09-11 11:30:46,2,2000,1000,30,2000,0,0.0000,66.67,60.5,66.6,162.6,2173.2,198.3,0.7,30.2,0.16,1.34,1.33,22.50
2025-09-11 11:31:24,3,3000,1000,30,3000,0,0.0000,100.00,60.3,69.1,172.6,2173.2,198.3,0.7,30.2,0.16,1.34,1.33,22.50
2025-09-11 11:32:02,4,4000,1000,30,4000,0,0.0000,133.33,60.5,66.6,164.0,2173.2,198.3,8.5,30.2,0.16,1.34,1.33,22.50
2025-09-11 11:32:40,5,5000,1000,30,5000,0,0.0000,166.67,61.0,91.7,287.4,2378.3,198.5,8.5,30.8,0.11,0.95,1.19,22.50
2025-09-11 11:33:19,6,6000,1000,30,6000,0,0.0000,200.00,60.9,75.7,189.3,2378.3,198.5,8.5,30.8,0.11,0.95,1.19,22.50
2025-09-11 11:33:59,7,7000,1000,30,7000,0,0.0000,233.33,61.5,97.9,247.7,2378.3,198.5,8.5,30.8,0.11,0.95,1.19,22.50
2025-09-11 11:35:15,8,8000,1000,30,7946,54,0.0067,266.67,62.5,106.5,271.6,1257.7,181.8,12.3,31.4,0.17,0.70,1.07,22.50
2025-09-11 11:35:53,9,9000,1000,30,7945,1055,0.1172,300.00,62.8,10166.8,10943.9,1257.7,181.8,12.3,31.4,0.17,0.70,1.07,22.50
2025-09-11 11:36:33,10,10000,1000,30,9604,396,0.0396,333.33,63.3,94.2,10590.8,1318.9,243.3,9.6,31.7,1.11,1.16,1.21,22.50
2025-09-11 11:37:13,11,11000,1000,30,10654,346,0.0315,366.67,64.5,106.6,8860.4,1318.9,243.3,9.6,31.7,1.11,1.16,1.21,22.50
2025-09-11 11:37:51,12,12000,1000,30,11633,367,0.0306,400.00,65.8,127.8,10978.6,1318.9,243.3,9.6,31.7,1.11,1.16,1.21,22.50
2025-09-11 11:38:30,13,13000,1000,30,12578,422,0.0325,433.33,69.2,161.7,10403.9,2129.9,413.8,16.9,30.6,1.15,1.15,1.19,22.50
2025-09-11 11:39:10,14,14000,1000,30,13625,375,0.0268,466.67,79.0,189.8,10721.8,2129.9,413.8,16.9,30.6,1.15,1.15,1.19,22.50
2025-09-11 11:39:52,15,15000,1000,30,14584,416,0.0277,500.00,83.4,212.4,10776.9,2129.9,413.8,16.9,30.6,1.15,1.15,1.19,22.50
2025-09-11 11:41:07,16,16000,1000,30,15498,502,0.0314,533.33,92.8,222.4,10842.9,2814,599.1,23.5,31.1,0.64,1.06,1.16,22.50
2025-09-11 11:42:57,17,17000,1000,30,4771,12229,0.7194,566.67,10340.0,10876.1,11009.0,2814.8,599.1,16.7,31.1,1.01,1.23,1.22,22.51
2025-09-11 11:43:52,18,18000,1000,30,17510,490,0.0272,600.00,101.1,309.3,10504.8,2836.4,600.3,16.7,31.3,1.01,1.23,1.22,22.51
2025-09-11 11:44:53,19,19000,1000,30,18322,678,0.0357,633.33,117.1,329.4,10615.1,3091.1,653.1,9.9,30.8,1.56,1.17,1.19,22.51
2025-09-11 11:45:39,20,20000,1000,30,19513,487,0.0244,666.67,151.9,364.4,10106.8,3091.1,653.1,9.9,30.8,1.56,1.17,1.19,22.51
2025-09-11 11:46:52,21,21000,1000,30,18989,2011,0.0958,700.00,124.0,2403.8,10981.8,3041.5,731,23.4,31.5,2.73,1.68,1.36,22.51
2025-09-11 11:48:21,22,22000,1000,30,20351,1649,0.0750,733.33,138.4,1503.9,10909.1,3041.5,620,20.4,31.5,1.42,1.66,1.40,22.51
2025-09-11 11:49:40,23,23000,1000,30,14167,8833,0.3840,766.67,8511.7,10822.7,11081.4,2950,681.4,20.4,31.3,1.42,1.66,1.40,22.51
2025-09-11 11:50:39,24,24000,1000,30,22530,1470,0.0612,800.00,216.0,2878.4,10960.5,3241.3,679.4,8.5,31.7,2.09,1.67,1.42,22.51
2025-09-11 11:51:34,25,25000,1000,30,23936,1064,0.0426,833.33,216.7,977.0,10705.5,3241.3,679.4,8.5,31.7,2.09,1.67,1.42,22.51
2025-09-11 11:53:08,26,26000,1000,30,21050,4950,0.1904,866.67,7481.4,10513.9,11043.7,3551.2,742.8,24.5,30.8,1.56,1.80,1.51,22.51
2025-09-11 11:56:03,27,27000,1000,30,9074,17926,0.6639,900.00,10393.3,10877.7,11165.7,2950,742.8,9.23,34.7,1.58,1.54,1.54,22.51
2025-09-11 11:58:21,28,28000,1000,30,15484,12516,0.4470,933.33,10037.4,10915.9,11396.1,2530,540,9.4,34.7,1.58,1.58,1.54,22.51
2025-09-11 12:00:49,29,29000,1000,30,24409,4591,0.1583,966.67,641.2,10445.5,11483.9,2860.2,535.9,12.4,32.8,1.13,1.63,1.22,22.51
2025-09-11 12:03:23,30,30000,1000,30,6054,23946,0.7982,1000.00,10503.6,10960.7,11146.0,2533.4,535.9,3.23,31.5,0.15,0.84,1.22,22.51
