timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-13 11:47:35,1,1000,1000,30,1000,0,0.0000,33.33,33.33,62.2,78.1,152.6,0.1,0.1,1.1,62.7,0.00,0.69,1.72,22.78
2025-09-13 11:48:14,2,2000,1000,30,2000,0,0.0000,66.67,66.67,60.1,64.4,158.4,0.2,0.2,3.1,63.7,0.00,0.46,1.50,22.78
2025-09-13 11:48:54,3,3000,1000,30,3000,0,0.0000,100.00,100.00,62.4,76.2,244.5,0.2,0.2,3.1,63.7,0.00,0.46,1.50,22.78
2025-09-13 11:49:33,4,4000,1000,30,4000,0,0.0000,133.33,133.33,63.2,79.3,228.2,0.2,0.2,3.1,63.7,0.00,0.46,1.50,22.78
2025-09-13 11:50:13,5,5000,1000,30,5000,0,0.0000,166.67,166.67,63.6,81.4,328.1,345.9,33.0,12.1,65.1,1.14,0.64,1.44,22.78
2025-09-13 11:50:51,6,6000,1000,30,6000,0,0.0000,200.00,200.00,64.1,78.7,325.7,345.9,33.0,12.1,65.1,1.14,0.64,1.44,22.78
2025-09-13 11:51:30,7,7000,1000,30,7000,0,0.0000,233.33,233.33,65.5,85.4,347.9,345.9,33.0,12.1,65.1,1.14,0.64,1.44,22.78
2025-09-13 11:52:08,8,8000,1000,30,8000,0,0.0000,266.67,266.67,65.5,96.5,397.0,792.4,128.8,20.7,65.2,0.74,0.70,1.36,22.78
2025-09-13 11:52:48,9,9000,1000,30,8882,118,0.0131,300.00,296.07,66.3,111.3,30375.1,792.4,128.8,20.7,65.2,0.74,0.70,1.36,22.78
2025-09-13 11:54:03,10,10000,1000,30,9552,448,0.0448,333.33,318.40,68.0,98.9,30981.0,792.4,128.8,27.0,65.2,0.74,0.70,1.36,22.78
2025-09-13 11:54:43,11,11000,1000,30,10653,347,0.0315,366.67,355.10,70.5,122.1,30902.2,1534.1,287.0,27.0,64.8,2.14,1.17,1.45,22.78
2025-09-13 11:55:22,12,12000,1000,30,11626,374,0.0312,400.00,387.53,75.1,176.8,10645.5,1534.1,287.0,27.0,64.8,2.14,1.17,1.45,22.78
2025-09-13 11:56:07,13,13000,1000,30,12578,422,0.0325,433.33,419.27,75.5,168.1,21375.0,1534.1,287.0,22.4,64.9,1.61,1.24,1.43,22.78
2025-09-13 11:56:47,14,14000,1000,30,13321,679,0.0485,466.67,444.03,83.2,217.7,27198.4,2132.6,413.0,22.4,64.9,1.61,1.24,1.43,22.78
2025-09-13 11:57:26,15,15000,1000,30,14629,371,0.0247,500.00,487.63,97.8,253.5,28413.1,2132.6,413.0,22.4,64.9,1.61,1.24,1.43,22.78
2025-09-13 11:58:06,16,16000,1000,30,15816,184,0.0115,533.33,527.20,96.0,269.5,30732.2,2132.6,413.0,38.9,64.9,4.54,2.25,1.76,22.78
2025-09-13 11:59:54,17,17000,1000,30,13085,3915,0.2303,566.67,436.17,20840.4,30744.9,30964.8,nan,596.4,38.9,65.3,4.54,2.25,1.76,22.78
2025-09-13 12:00:40,18,18000,1000,30,17106,894,0.0497,600.00,570.20,1672.9,5147.7,30995.8,3103.3,654.9,29.1,65.4,1.76,2.04,1.75,22.78
2025-09-13 12:01:24,19,19000,1000,30,18271,729,0.0384,633.33,609.03,121.6,2366.5,31007.6,3103.3,654.9,29.1,65.4,1.76,2.04,1.75,22.78
2025-09-13 12:02:31,20,20000,1000,30,18272,1728,0.0864,666.67,609.07,11545.2,13066.0,30729.6,3411.3,713.8,35.2,65.5,4.69,2.95,2.11,22.78
2025-09-13 12:03:13,21,21000,1000,30,20450,550,0.0262,700.00,681.67,182.6,444.8,25826.2,3411.3,713.8,35.2,65.5,4.69,2.95,2.11,22.78
2025-09-13 12:04:05,22,22000,1000,30,21587,413,0.0188,733.33,719.57,359.9,713.0,30548.3,3411.3,713.8,35.3,65.5,4.69,3.30,2.32,22.78
2025-09-13 12:05:30,23,23000,1000,30,21238,1762,0.0766,766.67,707.93,3047.1,11574.2,30832.6,4232.4,881.3,35.3,65.1,4.52,3.30,2.32,22.78
2025-09-13 12:06:30,24,24000,1000,30,22295,1705,0.0710,800.00,743.17,16028.4,17060.8,30645.4,4017.7,833.7,34.4,65.9,2.87,3.35,2.48,22.78
2025-09-13 12:07:12,25,25000,1000,30,24290,710,0.0284,833.33,809.67,748.6,4521.3,30676.9,4017.7,833.7,34.4,65.9,2.87,3.35,2.48,22.78
