timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-13 11:06:51,1,1000,1000,30,1000,0,0.0000,33.33,33.33,60.7,71.9,202.2,0.3,0.2,0.9,60.4,0.00,0.00,0.00,22.78
2025-09-13 11:07:31,2,2000,1000,30,2000,0,0.0000,66.67,66.67,60.6,65.7,203.2,0.3,0.2,0.9,60.4,0.00,0.00,0.00,22.78
2025-09-13 11:08:11,3,3000,1000,30,3000,0,0.0000,100.00,100.00,61.3,79.6,250.4,0.1,0.1,10.5,61.4,0.37,0.13,0.04,22.78
2025-09-13 11:08:51,4,4000,1000,30,4000,0,0.0000,133.33,133.33,87.7,129.9,326.5,0.1,0.1,10.5,61.4,0.37,0.13,0.04,22.78
2025-09-13 11:09:29,5,5000,1000,30,5000,0,0.0000,166.67,166.67,62.0,90.2,294.7,0.1,0.1,10.5,61.4,0.37,0.13,0.04,22.78
2025-09-13 11:10:08,6,6000,1000,30,6000,0,0.0000,200.00,200.00,62.1,75.8,333.8,0.1,44.0,16.3,61.5,0.43,0.25,0.10,22.78
2025-09-13 11:10:46,7,7000,1000,30,7000,0,0.0000,233.33,233.33,62.5,79.0,387.7,462.1,44.0,16.3,61.5,0.43,0.25,0.10,22.78
2025-09-13 11:11:24,8,8000,1000,30,8000,0,0.0000,266.67,266.67,64.0,103.1,601.7,462.1,44.0,16.3,61.5,0.43,0.25,0.10,22.78
2025-09-13 11:12:04,9,9000,1000,30,8873,127,0.0141,300.00,295.77,64.9,118.5,30629.2,462.1,44.0,24.6,61.5,0.43,0.25,0.13,22.78
2025-09-13 11:12:51,10,10000,1000,30,9641,359,0.0359,333.33,321.37,64.9,99.3,30421.4,1098.8,180.5,24.6,61.3,0.34,0.29,0.13,22.78
2025-09-13 11:13:57,11,11000,1000,30,9833,1167,0.1061,366.67,327.77,67.1,16351.6,16409.1,1098.8,180.5,24.6,61.3,0.34,0.29,0.13,22.78
2025-09-13 11:14:50,12,12000,1000,30,11502,498,0.0415,400.00,383.40,74.4,246.6,30905.3,2091.9,391.3,30.2,61.2,0.89,0.59,0.26,22.78
2025-09-13 11:15:50,13,13000,1000,30,12904,96,0.0074,433.33,430.13,74.2,190.0,19711.6,2091.9,391.3,30.2,61.2,0.89,0.59,0.26,22.78
2025-09-13 11:16:33,14,14000,1000,30,13677,323,0.0231,466.67,455.90,75.2,194.0,30172.0,2355.9,500.1,25.5,61.5,1.34,0.81,0.38,22.78
2025-09-13 11:17:12,15,15000,1000,30,14672,328,0.0219,500.00,489.07,83.7,208.1,30652.0,2355.9,500.1,25.5,61.5,1.34,0.81,0.38,22.78
2025-09-13 11:17:51,16,16000,1000,30,15552,448,0.0280,533.33,518.40,95.9,238.8,30793.5,2355.9,500.1,25.5,61.5,1.34,0.81,0.38,22.78
2025-09-13 11:19:02,17,17000,1000,30,16339,661,0.0389,566.67,544.63,106.4,371.7,30863.9,2612.5,553.7,29.9,62.5,3.09,1.53,0.68,22.78
2025-09-13 11:20:31,18,18000,1000,30,7931,10069,0.5594,600.00,264.37,30195.9,30831.4,31003.3,2612.5,662.0,29.4,62.5,1.79,1.88,0.94,22.78
2025-09-13 11:21:14,19,19000,1000,30,18489,511,0.0269,633.33,616.30,159.2,454.2,18246.9,3148.2,662.0,29.4,62.5,1.79,1.88,0.94,22.78
2025-09-13 11:22:20,20,20000,1000,30,17656,2344,0.1172,666.67,588.53,14224.2,18206.7,30905.5,3088.0,645.1,25.0,61.6,1.17,1.61,0.95,22.78
2025-09-13 11:23:00,21,21000,1000,30,20556,444,0.0211,700.00,685.20,230.3,502.0,30223.7,3088.0,645.1,25.0,61.6,1.17,1.61,0.95,22.78
2025-09-13 11:25:02,22,22000,1000,30,20659,1341,0.0610,733.33,688.63,4576.0,7402.2,30697.9,3088.0,645.1,46.9,64.9,6.20,3.06,1.54,22.79
2025-09-13 11:26:27,23,23000,1000,30,22177,823,0.0358,766.67,739.23,581.9,4773.7,30439.8,3718.0,741.3,21.7,63.7,5.75,3.49,1.87,22.78
2025-09-13 11:27:24,24,24000,1000,30,23470,530,0.0221,800.00,782.33,380.4,655.4,30966.7,3718,741.3,21.7,63.7,5.75,3.49,1.87,22.78
2025-09-13 11:28:10,25,25000,1000,30,24299,701,0.0280,833.33,809.97,509.8,4484.2,30189.6,3464.4,712.4,27.6,63.8,6.53,4.41,2.39,22.78
