timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-11 15:51:58,1,1000,1000,30,1000,0,0.0000,33.33,33.33,61.1,73.1,135.0,4.9,4.2,0.9,16.5,0.06,0.07,0.39,22.56
2025-09-11 15:52:38,2,2000,2000,30,2000,0,0.0000,66.67,66.67,61.7,74.5,148.4,223.5,8.2,1.6,16.3,0.03,0.06,0.34,22.56
2025-09-11 15:53:17,3,3000,3000,30,3000,0,0.0000,100.00,100.00,60.6,69.9,151.1,223.5,8.2,1.6,16.3,0.03,0.06,0.34,22.56
2025-09-11 15:53:55,4,4000,4000,30,4000,0,0.0000,133.33,133.33,61.0,81.3,159.9,223.5,8.2,1.6,16.3,0.03,0.06,0.34,22.56
2025-09-11 15:54:34,5,5000,5000,30,5000,0,0.0000,166.67,166.67,61.6,76.1,174.2,451.1,56.4,5.3,16.5,0.23,0.14,0.34,22.56
2025-09-11 15:55:12,6,6000,5000,30,6000,0,0.0000,200.00,200.00,62.1,82.6,190.0,451.1,56.4,5.3,16.5,0.23,0.14,0.34,22.56
2025-09-11 15:55:52,7,7000,5000,30,7000,0,0.0000,233.33,233.33,62.9,91.2,226.6,451.1,56.4,5.3,16.5,0.23,0.14,0.34,22.56
2025-09-11 15:56:30,8,8000,5000,30,8000,0,0.0000,266.67,266.67,63.1,85.1,180.9,907.4,153.7,12.1,16.4,0.37,0.25,0.36,22.56
2025-09-11 15:57:10,9,9000,5000,30,8941,59,0.0066,300.00,298.03,63.7,85.8,260.2,907.4,153.7,12.1,16.4,0.37,0.25,0.36,22.56
2025-09-11 15:58:13,10,10000,5000,30,9070,930,0.0930,333.33,302.33,64.5,7105.8,30932.5,1570.1,295.4,16.9,16.2,0.76,0.46,0.42,22.56
2025-09-11 15:58:59,11,11000,5000,30,8400,2600,0.2364,366.67,280.00,66.1,30513.7,30970.1,1570.1,295.4,16.9,16.2,0.76,0.46,0.42,22.56
2025-09-11 15:59:38,12,12000,5000,30,11589,411,0.0343,400.00,386.30,68.1,143.6,12964.8,1570.1,295.4,16.9,16.2,0.76,0.46,0.42,22.56
2025-09-11 16:00:17,13,13000,5000,30,12642,358,0.0275,433.33,421.40,67.3,150.3,21821.9,2111.5,450.7,14.4,15.9,1.77,0.80,0.54,22.56
2025-09-11 16:00:56,14,14000,5000,30,13656,344,0.0246,466.67,455.20,74.4,159.0,24169.3,2111.5,450.7,14.4,15.9,1.77,0.80,0.54,22.56
2025-09-11 16:01:35,15,15000,5000,30,14641,359,0.0239,500.00,488.03,77.0,189.5,30404.0,2111.5,450.7,14.4,15.9,1.77,0.80,0.54,22.56
2025-09-11 16:02:14,16,16000,5000,30,15629,371,0.0232,533.33,520.97,84.4,211.4,30377.7,3052.1,648.6,21.3,16.6,1.86,0.97,0.63,22.56
2025-09-11 16:02:52,17,17000,5000,30,16577,423,0.0249,566.67,552.57,81.8,224.0,30285.4,3052.1,648.6,21.3,16.6,1.86,0.97,0.63,22.56
2025-09-11 16:03:39,18,18000,5000,30,13136,4864,0.2702,600.00,437.87,6649.3,30752.0,30980.3,3052.1,648.6,21.3,16.6,1.86,0.97,0.63,22.56
2025-09-11 16:04:37,19,19000,5000,30,13289,5711,0.3006,633.33,442.97,12290.6,30618.0,30992.9,3463.0,734.6,16.8,16.9,2.14,1.35,0.81,22.56
2025-09-11 16:05:40,20,20000,5000,30,17897,2103,0.1051,666.67,596.57,121.3,16139.3,16288.7,3463.0,734.6,16.8,16.9,2.14,1.35,0.81,22.56
2025-09-11 16:06:20,21,21000,5000,30,20585,415,0.0198,700.00,686.17,113.4,358.0,30112.9,4022.6,838.6,10.2,16.6,1.23,1.33,0.87,22.56
2025-09-11 16:07:24,22,22000,5000,30,21318,682,0.0310,733.33,710.60,125.9,464.6,30329.5,4022.6,838.6,10.2,16.6,1.23,1.33,0.87,22.56
2025-09-11 16:08:24,23,23000,5000,30,18152,4848,0.2108,766.67,605.07,146.5,30562.5,30995.5,4339.8,909.7,13.5,16.9,1.41,1.31,0.91,22.56
2025-09-11 16:09:17,24,24000,5000,30,19142,4858,0.2024,800.00,638.07,585.5,30614.1,30957.1,4339.8,909.7,13.5,16.9,1.41,1.31,0.91,22.56
2025-09-11 16:10:21,25,25000,5000,30,20901,4099,0.1640,833.33,696.70,192.6,21477.0,27251.0,4770.2,1002.8,12.3,17.0,1.47,1.31,0.95,22.56
2025-09-11 16:11:27,26,26000,5000,30,24679,1321,0.0508,866.67,822.63,175.9,513.2,30532.3,4770.2,1002.8,12.3,17.0,1.47,1.31,0.95,22.56
2025-09-11 16:12:33,27,27000,5000,30,21262,5738,0.2125,900.00,708.73,546.8,30640.7,31007.7,4534.6,973.9,14.4,17.3,1.66,1.45,1.04,22.56
2025-09-11 16:13:38,28,28000,5000,30,21417,6583,0.2351,933.33,713.90,2307.0,30399.1,30896.5,4534.6,973.9,14.4,17.3,1.66,1.45,1.04,22.56
2025-09-11 16:14:43,29,29000,5000,30,26737,2263,0.0780,966.67,891.23,327.1,1006.6,30746.1,4504.7,962.7,15.4,16.5,3.28,2.00,1.28,22.56
2025-09-11 16:15:48,30,30000,5000,30,23780,6220,0.2073,1000.00,792.67,2978.0,30494.8,30975.2,4504.7,962.7,15.4,16.5,3.28,2.00,1.28,22.56
2025-09-11 16:16:57,31,31000,5000,30,24971,6029,0.1945,1033.33,832.37,1735.4,30654.9,30977.9,4819.6,1029.1,20.0,16.7,3.42,2.13,1.39,22.56
2025-09-11 16:18:05,32,32000,5000,30,28121,3879,0.1212,1066.67,937.37,384.0,30152.1,30831.0,4819.6,1029.1,19.3,16.7,4.02,2.55,1.62,22.56
2025-09-11 16:19:01,33,33000,5000,30,23389,9611,0.2912,1100.00,779.63,16578.2,30673.8,31001.9,4740.0,1015.3,19.3,18.4,4.02,2.55,1.62,22.56
2025-09-11 16:20:07,34,34000,5000,30,30740,3260,0.0959,1133.33,1024.67,391.8,2492.7,30963.4,4740.0,1015.3,17.7,18.4,1.72,2.23,1.62,22.56
2025-09-11 16:21:11,35,35000,5000,30,27503,7497,0.2142,1166.67,916.77,8619.8,30500.5,31005.5,5321.0,1125.0,17.7,18.3,1.72,2.23,1.62,22.56
2025-09-11 16:22:16,36,36000,5000,30,30798,5202,0.1445,1200.00,1026.60,3193.3,30219.0,30964.1,5778.7,1225.1,15.8,17.8,1.64,2.13,1.66,22.11
2025-09-11 16:23:23,37,37000,5000,30,31104,5896,0.1594,1233.33,1036.80,945.5,30363.2,30990.9,5778.7,1225.1,15.8,17.8,1.64,2.13,1.66,22.11
2025-09-11 16:24:31,38,38000,5000,30,30052,7948,0.2092,1266.67,1001.73,9416.8,30436.2,30934.0,5873.6,1241.0,17.1,18.9,2.29,2.50,1.87,22.56
2025-09-11 16:25:37,39,39000,5000,30,33692,5308,0.1361,1300.00,1123.07,506.7,30235.1,30777.4,5873.6,1241.0,17.1,18.9,2.29,2.50,1.87,22.56
2025-09-11 16:26:41,40,40000,5000,30,30995,9005,0.2251,1333.33,1033.17,11696.9,30804.0,31067.8,6024.5,1266.7,20.7,19.9,2.25,2.28,1.86,22.56
2025-09-11 16:27:50,41,41000,5000,30,36130,4870,0.1188,1366.67,1204.33,611.6,30277.5,30899.9,6024.5,1266.7,20.7,19.9,2.25,2.28,1.86,22.56
2025-09-11 16:29:34,42,42000,5000,30,32980,9020,0.2148,1400.00,1099.33,12107.5,30691.0,30925.5,6068.4,1281.8,23.9,20.1,2.04,2.13,1.85,22.56
2025-09-11 16:30:42,43,43000,5000,30,38515,4485,0.1043,1433.33,1283.83,772.1,30182.7,30922.1,6413.6,1342.4,14.1,19.7,1.46,1.99,1.83,22.56
2025-09-11 16:31:50,44,44000,5000,30,33594,10406,0.2365,1466.67,1119.80,18079.9,30536.4,30999.7,6413.6,1342.4,14.1,19.7,1.46,1.99,1.83,22.56
2025-09-11 16:32:56,45,45000,5000,30,38161,6839,0.1520,1500.00,1272.03,1103.8,30642.6,30937.2,6585.5,1381.7,22.7,18.6,4.60,3.02,2.23,22.56
2025-09-11 16:34:03,46,46000,5000,30,37781,8219,0.1787,1533.33,1259.37,13624.5,30573.8,30972.4,6585.5,1381.7,19.0,18.6,4.60,3.02,2.23,22.56
2025-09-11 16:35:06,47,47000,5000,30,37561,9439,0.2008,1566.67,1252.03,12908.0,30552.0,30935.4,7100.8,1482.9,19.0,16.6,4.50,3.33,2.43,22.56
2025-09-11 16:36:12,48,48000,5000,30,41195,6805,0.1418,1600.00,1373.17,1900.9,30645.7,30964.8,6950.2,1445.8,26.8,19.1,6.27,3.96,2.75,22.56
2025-09-11 16:37:12,49,49000,5000,30,39501,9499,0.1939,1633.33,1316.70,14539.8,30381.0,31030.7,6950.2,1445.8,26.8,19.1,6.27,3.96,2.75,22.56
2025-09-11 16:38:18,50,50000,5000,30,44001,5999,0.1200,1666.67,1466.70,1241.5,30300.0,30819.1,7265.3,1499.6,23.8,19.0,5.04,4.26,3.01,22.56
